,ElevGp,Cl0deGp,2l0deGp2
P_albagula,Low,0,0
P_amplus,High,0,0
P_angusticlavius,Low,0,2
P_aureolus,Low,0,0
P_caddoensis,Low,0,0
P_chattahoochee,Low,0,0
P_cheoah,High,0,0
P_chlorobryonis,Low,0,0
P_cinereus,Low,1,1
P_cylindraceus,Low,0,0
P_dorsalis,Low,0,2
P_electromorphus,Low,1,1
P_fourchensis,Low,0,0
P_glutinosus,Low,0,0
P_grobmani,Low,0,0
P_hoffmani,Low,1,1
P_hubrichti,High,1,1
P_jordani,High,0,0
P_kentucki,Low,0,0
P_kiamichi,Low,0,0
P_kisatchie,Low,0,0
P_meridianus,Low,0,0
P_metcalfi,Low,0,0
P_mississippi,Low,0,0
P_montanus,High,0,0
P_nettingi,High,1,1
P_ocmulgee,Low,0,0
P_ouachitae,Low,0,0
P_petraeus,Low,0,0
P_punctatus,High,0,2
P_richmondi,Low,1,1
P_savannah,Low,0,0
P_sequoyah,Low,0,0
P_serratus,Low,1,1
P_shenandoah,High,1,1
P_shermani,High,0,0
P_teyahalee,Low,0,0
P_variolatus,Low,0,0
P_ventralis,Low,0,2
P_virginia,Low,1,1
P_websteri,Low,0,2
P_wehrlei,Low,0,2
P_welleri,High,0,2
P_yonahlossee,High,0,0
